epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.1246,1.50355,2.79037,1.25508,0.84286,0.88106,0.87501,0.33202,2.07329,1.41754,1.49322,0.000658915,0.000658915,0.000658915
2,59.2821,1.46997,0.96857,1.21289,0.63177,0.78267,0.58203,0.21395,2.05687,3.82242,1.48458,0.00131246,0.00131246,0.00131246
3,87.8955,1.42086,0.87469,1.18621,0.06273,0.28341,0.0249,0.00975,2.90986,14.4619,4.85244,0.0019528,0.0019528,0.0019528
4,117.563,1.4159,0.86524,1.20332,0.83976,0.91777,0.92514,0.39002,nan,nan,nan,0.0019406,0.0019406,0.0019406
5,146.02,1.36972,0.81745,1.18002,0.74555,0.93833,0.79715,0.37544,1.70764,1.47989,1.21253,0.0019208,0.0019208,0.0019208
6,176.632,1.34566,0.78169,1.16837,0.9574,0.52802,0.55434,0.24797,nan,nan,nan,0.001901,0.001901,0.001901
7,205.795,1.32375,0.72295,1.16271,0.96807,0.93496,0.95717,0.43863,1.82434,0.77964,1.2848,0.0018812,0.0018812,0.0018812
8,234.818,1.32607,0.71448,1.14979,0.96506,0.97504,0.97395,0.48799,1.6467,0.74093,1.17166,0.0018614,0.0018614,0.0018614
9,263.624,1.32544,0.71566,1.16432,0.97511,0.98091,0.97387,0.46929,1.74511,0.7717,1.32284,0.0018416,0.0018416,0.0018416
10,292.579,1.29909,0.69801,1.1592,0.96679,0.98238,0.9766,0.46515,1.72725,0.85877,1.30818,0.0018218,0.0018218,0.0018218
11,321.438,1.28379,0.69503,1.15136,0.97274,0.96916,0.96137,0.39925,2.00595,0.81539,1.33135,0.001802,0.001802,0.001802
12,350.445,1.26314,0.66298,1.14686,0.93771,0.94273,0.89845,0.28982,2.26878,0.92901,1.47853,0.0017822,0.0017822,0.0017822
13,379.2,1.29661,0.66824,1.15372,0.97314,0.95766,0.97378,0.49004,1.63876,0.69041,1.24403,0.0017624,0.0017624,0.0017624
14,407.964,1.26275,0.65796,1.14397,0.97719,0.97944,0.96827,0.48635,1.65191,0.80451,1.18816,0.0017426,0.0017426,0.0017426
15,436.709,1.24679,0.64412,1.12779,0.97468,0.97651,0.96244,0.43606,1.84817,0.75377,1.24779,0.0017228,0.0017228,0.0017228
16,465.321,1.26637,0.63706,1.13923,0.9395,0.93488,0.90412,0.35402,2.16354,0.81559,1.41016,0.001703,0.001703,0.001703
17,494.062,1.26251,0.62863,1.14909,0.98589,0.97944,0.97927,0.51373,1.55306,0.71406,1.22779,0.0016832,0.0016832,0.0016832
18,522.85,1.23973,0.63564,1.12266,0.97135,0.9721,0.95413,0.40747,1.93743,0.74927,1.27754,0.0016634,0.0016634,0.0016634
19,551.531,1.24706,0.64248,1.14585,0.9773,0.98091,0.96933,0.45352,1.78251,0.74668,1.29347,0.0016436,0.0016436,0.0016436
20,580.19,1.21548,0.62244,1.12887,0.96491,0.96908,0.95536,0.42813,1.82824,0.74031,1.27186,0.0016238,0.0016238,0.0016238
21,608.696,1.22593,0.5987,1.12852,0.98311,0.98238,0.97302,0.49335,1.65617,0.67777,1.23612,0.001604,0.001604,0.001604
22,637.258,1.21285,0.61675,1.12156,0.96483,0.96675,0.97295,0.51241,1.65585,0.67794,1.25882,0.0015842,0.0015842,0.0015842
23,665.959,1.20143,0.60234,1.12305,0.9676,0.98532,0.98226,0.51067,1.58603,0.67436,1.2867,0.0015644,0.0015644,0.0015644
24,694.813,1.21524,0.60766,1.13256,0.93535,0.98385,0.97196,0.47463,1.70815,0.74038,1.33279,0.0015446,0.0015446,0.0015446
25,723.685,1.22802,0.60363,1.13725,0.98285,0.98385,0.97649,0.49847,1.69885,0.72192,1.28689,0.0015248,0.0015248,0.0015248
26,752.438,1.18121,0.57502,1.10614,0.97668,0.97651,0.96938,0.4457,1.8016,0.79265,1.37801,0.001505,0.001505,0.001505
27,781.089,1.19541,0.58651,1.1215,0.97808,0.97797,0.96385,0.42206,1.8465,0.72527,1.33772,0.0014852,0.0014852,0.0014852
28,809.667,1.20374,0.58356,1.12055,0.97017,0.97504,0.95646,0.45376,1.79992,0.69885,1.30839,0.0014654,0.0014654,0.0014654
