epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.5766,1.69872,2.98445,1.37727,0.83221,0.95003,0.94195,0.47029,1.57518,1.10338,1.18538,0.000658436,0.000658436,0.000658436
2,56.2821,1.61406,1.00772,1.28948,0,0,0,0,5.23401,32.968,20.4072,0.00131198,0.00131198,0.00131198
3,83.6335,1.57421,0.91969,1.25292,0.87719,0.86129,0.88752,0.45221,nan,nan,nan,0.00195233,0.00195233,0.00195233
4,111.072,1.5956,0.91482,1.28038,0.01027,0.78732,0.00897,0.00486,1.67259,inf,1.32524,0.0019406,0.0019406,0.0019406
5,138.75,1.54525,0.84305,1.2649,0.92172,0.97226,0.94936,0.46523,1.56236,0.93109,1.24394,0.0019208,0.0019208,0.0019208
6,166.422,1.54502,0.83611,1.25702,0.59627,0.62087,0.60486,0.29556,nan,nan,nan,0.001901,0.001901,0.001901
7,193.943,1.52135,0.80831,1.23494,0.90263,0.97094,0.9571,0.50488,1.44423,0.98205,1.15286,0.0018812,0.0018812,0.0018812
8,221.564,1.50348,0.78133,1.22826,0.91217,0.98781,0.96247,0.49184,1.50631,0.8209,1.23023,0.0018614,0.0018614,0.0018614
9,249.063,1.48882,0.7664,1.24163,0.92032,0.99075,0.97275,0.49522,1.54194,0.86703,1.18574,0.0018416,0.0018416,0.0018416
10,276.503,1.47832,0.73835,1.21477,0.86295,0.99075,0.92872,0.47687,1.54221,0.85242,1.23214,0.0018218,0.0018218,0.0018218
11,303.997,1.50094,0.75601,1.22971,0.92361,0.98679,0.94129,0.49523,1.50779,0.85934,1.25481,0.001802,0.001802,0.001802
12,331.334,1.47752,0.74724,1.22451,0.92189,0.99075,0.97448,0.45093,1.76986,0.87558,1.25671,0.0017822,0.0017822,0.0017822
13,358.64,1.48779,0.72664,1.2344,0.94977,0.97424,0.97979,0.51746,1.41835,0.73233,1.1941,0.0017624,0.0017624,0.0017624
14,386.04,1.44975,0.71632,1.21847,0.94585,0.99212,0.98288,0.5353,1.4971,0.70184,1.22364,0.0017426,0.0017426,0.0017426
15,413.423,1.49161,0.72112,1.23347,0.90839,0.99207,0.93743,0.51158,1.41809,0.73878,1.19559,0.0017228,0.0017228,0.0017228
16,440.763,1.46154,0.7022,1.21171,0.94546,0.99075,0.98259,0.51271,1.4787,0.69112,1.19094,0.001703,0.001703,0.001703
17,468.147,1.46202,0.69841,1.20475,0.91807,0.99604,0.97419,0.487,1.6041,0.74721,1.23029,0.0016832,0.0016832,0.0016832
18,495.599,1.45976,0.70534,1.23397,0.92717,0.99472,0.9425,0.50617,1.55189,0.71881,1.3071,0.0016634,0.0016634,0.0016634
19,522.785,1.45656,0.69672,1.22067,0.9306,0.99472,0.95576,0.50265,1.43952,0.68261,1.23654,0.0016436,0.0016436,0.0016436
20,550.103,1.43113,0.67324,1.21899,0.92167,0.99472,0.959,0.49529,1.49854,0.74426,1.27685,0.0016238,0.0016238,0.0016238
21,577.52,1.4304,0.65824,1.21366,0.91414,0.99339,0.93441,0.47087,1.56247,0.7279,1.25663,0.001604,0.001604,0.001604
22,604.86,1.47192,0.66199,1.23525,0.92638,0.97094,0.96734,0.48125,1.52323,0.67714,1.28184,0.0015842,0.0015842,0.0015842
23,632.216,1.46449,0.67058,1.21315,0.94207,0.98816,0.97916,0.53828,1.42719,0.70452,1.19245,0.0015644,0.0015644,0.0015644
24,659.732,1.43046,0.65957,1.20904,0.93765,0.99472,0.97592,0.52559,1.49903,0.63859,1.24985,0.0015446,0.0015446,0.0015446
25,687.068,1.42009,0.65166,1.19401,0.93718,0.99075,0.96583,0.55327,1.42689,0.63822,1.22821,0.0015248,0.0015248,0.0015248
26,714.485,1.43177,0.63425,1.19543,0.92874,0.98138,0.97235,0.51805,1.4302,0.73133,1.22989,0.001505,0.001505,0.001505
27,741.789,1.42592,0.64519,1.2051,0.93106,0.99472,0.96898,0.52556,1.48268,0.67461,1.21296,0.0014852,0.0014852,0.0014852
28,769.147,1.41753,0.63189,1.19433,0.95281,0.98695,0.98434,0.50661,1.59343,0.70743,1.19607,0.0014654,0.0014654,0.0014654
29,796.389,1.44065,0.628,1.19814,0.94376,0.99207,0.98619,0.51895,1.5237,0.65656,1.22569,0.0014456,0.0014456,0.0014456
30,823.662,1.39671,0.63191,1.1915,0.93054,0.97622,0.94122,0.4737,1.58051,0.67826,1.31511,0.0014258,0.0014258,0.0014258
31,851.064,1.42976,0.63374,1.20579,0.94726,0.99207,0.98173,0.55518,1.40612,0.64037,1.20038,0.001406,0.001406,0.001406
32,878.446,1.42452,0.62611,1.21103,0.92725,0.99604,0.94692,0.5413,1.43717,0.63201,1.2133,0.0013862,0.0013862,0.0013862
33,905.771,1.3943,0.62569,1.19465,0.92336,0.99604,0.96464,0.51004,1.46783,0.66949,1.23388,0.0013664,0.0013664,0.0013664
34,933.129,1.40606,0.61956,1.21147,0.94151,0.99075,0.97397,0.50481,1.48601,0.69082,1.27739,0.0013466,0.0013466,0.0013466
