epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.8615,1.61387,2.8822,1.24118,0.72067,0.71783,0.7795,0.29189,2.11599,1.15837,1.60116,0.000659259,0.000659259,0.000659259
2,59.3287,1.50861,0.95391,1.18925,0.63871,0.70309,0.66801,0.18542,2.4537,1.75032,1.94696,0.0013128,0.0013128,0.0013128
3,87.6653,1.4469,0.85508,1.17643,0.6847,0.76596,0.69409,0.23131,2.31854,1.13031,1.78316,0.00195314,0.00195314,0.00195314
4,116.215,1.44903,0.8312,1.19915,0.66652,0.61171,0.67633,0.18093,2.74907,1.11637,2.06542,0.0019406,0.0019406,0.0019406
5,145.011,1.44619,0.7922,1.17269,0.51846,0.35843,0.30602,0.0721,3.72238,2.73313,6.04893,0.0019208,0.0019208,0.0019208
6,174.402,1.3965,0.7396,1.16641,0.54738,0.48936,0.4324,0.10275,2.92197,1.53073,2.45327,0.001901,0.001901,0.001901
7,204.106,1.41445,0.74449,1.18536,0.77782,0.68758,0.77814,0.23606,2.59253,1.10962,1.99397,0.0018812,0.0018812,0.0018812
8,233.608,1.40054,0.70744,1.1671,0.65806,0.63011,0.58662,0.13767,2.79884,1.02229,2.14708,0.0018614,0.0018614,0.0018614
9,263.289,1.39558,0.70655,1.1521,0.60603,0.67103,0.60658,0.13288,2.84271,1.18109,2.11006,0.0018416,0.0018416,0.0018416
10,292.876,1.41296,0.71154,1.18132,0.68213,0.69722,0.70488,0.20636,2.6636,1.00868,1.98483,0.0018218,0.0018218,0.0018218
11,322.438,1.37559,0.69879,1.15422,0.67045,0.69885,0.67899,0.16837,2.66654,1.19767,2.19308,0.001802,0.001802,0.001802
12,351.865,1.36823,0.65767,1.15761,0.7681,0.81506,0.83456,0.26462,2.49393,0.97757,1.89704,0.0017822,0.0017822,0.0017822
13,381.257,1.36562,0.66455,1.15165,0.6223,0.59594,0.63147,0.21632,2.40641,1.92907,1.90286,0.0017624,0.0017624,0.0017624
14,410.829,1.37126,0.68904,1.16626,0.72742,0.75562,0.72594,0.17264,2.73702,0.95441,2.19374,0.0017426,0.0017426,0.0017426
15,440.253,1.36484,0.64757,1.15301,0.6366,0.65656,0.63779,0.17588,2.7802,1.03874,2.23736,0.0017228,0.0017228,0.0017228
16,469.774,1.32712,0.63157,1.1504,0.51156,0.48445,0.44336,0.11198,3.17725,1.5239,2.60135,0.001703,0.001703,0.001703
17,499.258,1.34719,0.65314,1.14599,0.71076,0.72392,0.7612,0.28082,2.20293,1.20993,1.72835,0.0016832,0.0016832,0.0016832
18,528.692,1.34405,0.63709,1.14634,0.62195,0.64321,0.62708,0.15747,2.80751,1.01855,2.07063,0.0016634,0.0016634,0.0016634
19,558.242,1.32873,0.62683,1.14695,0.73136,0.71358,0.75026,0.23188,2.58241,1.04918,2.02232,0.0016436,0.0016436,0.0016436
20,587.732,1.32087,0.62801,1.1374,0.58254,0.57326,0.49817,0.11724,2.91741,1.11733,2.29371,0.0016238,0.0016238,0.0016238
21,617.228,1.32472,0.607,1.13413,0.71695,0.75448,0.75904,0.22025,2.60212,0.96282,2.04119,0.001604,0.001604,0.001604
22,646.732,1.33808,0.60757,1.14989,0.72099,0.85431,0.85444,0.31943,2.25816,0.93135,1.70978,0.0015842,0.0015842,0.0015842
23,676.263,1.32895,0.60766,1.13771,0.69542,0.74141,0.74645,0.23222,2.36912,1.24807,1.9497,0.0015644,0.0015644,0.0015644
24,705.716,1.31393,0.59044,1.15067,0.71125,0.67267,0.71403,0.21715,2.59981,1.16044,2.1235,0.0015446,0.0015446,0.0015446
25,735.243,1.31496,0.61494,1.13999,0.70985,0.65668,0.67627,0.18377,2.83231,0.98893,2.25442,0.0015248,0.0015248,0.0015248
26,764.704,1.31537,0.60262,1.13665,0.77261,0.76596,0.81586,0.28076,2.52126,1.05817,1.98028,0.001505,0.001505,0.001505
27,794.082,1.33149,0.58972,1.15002,0.76463,0.79869,0.80186,0.25286,2.45826,1.00712,1.99488,0.0014852,0.0014852,0.0014852
28,823.472,1.30107,0.59357,1.15261,0.59419,0.69231,0.63222,0.17354,2.77283,1.03116,2.38541,0.0014654,0.0014654,0.0014654
29,852.902,1.30264,0.58181,1.14232,0.77409,0.77953,0.76776,0.20459,2.63436,0.90262,2.16705,0.0014456,0.0014456,0.0014456
30,882.359,1.28155,0.58397,1.13633,0.68794,0.71195,0.69313,0.20541,2.61222,1.03095,2.0835,0.0014258,0.0014258,0.0014258
31,911.928,1.27874,0.56753,1.1324,0.68858,0.72668,0.67591,0.17323,2.64906,0.99014,2.30579,0.001406,0.001406,0.001406
32,941.464,1.30693,0.5721,1.14355,0.80327,0.78186,0.80595,0.24657,2.49486,0.93517,2.0511,0.0013862,0.0013862,0.0013862
33,970.937,1.30821,0.5698,1.15701,0.7549,0.71581,0.71899,0.1889,2.63832,0.94147,2.21545,0.0013664,0.0013664,0.0013664
34,1000.44,1.27616,0.56087,1.1241,0.76286,0.71078,0.65896,0.15051,2.78366,0.91661,2.35353,0.0013466,0.0013466,0.0013466
35,1029.87,1.29604,0.55853,1.13897,0.79517,0.81833,0.85217,0.28229,2.41503,0.94124,2.04117,0.0013268,0.0013268,0.0013268
36,1059.29,1.25138,0.55459,1.1288,0.73111,0.7476,0.72546,0.21398,nan,nan,nan,0.001307,0.001307,0.001307
37,1088.7,1.26593,0.56335,1.1358,0.7723,0.74141,0.78146,0.22819,2.66762,0.91074,2.22776,0.0012872,0.0012872,0.0012872
38,1117.99,1.283,0.56342,1.14571,0.77854,0.74959,0.78915,0.24604,2.53623,1.05081,2.15358,0.0012674,0.0012674,0.0012674
39,1147.35,1.27256,0.54436,1.13435,0.79713,0.77087,0.80133,0.24457,2.55994,1.04457,2.20834,0.0012476,0.0012476,0.0012476
40,1176.81,1.29109,0.55593,1.14238,0.81689,0.76596,0.8102,0.23282,nan,nan,nan,0.0012278,0.0012278,0.0012278
41,1206.3,1.28907,0.56671,1.13841,0.6604,0.59518,0.58507,0.15195,2.89725,0.96549,2.55632,0.001208,0.001208,0.001208
42,1235.83,1.26586,0.54485,1.12021,0.7075,0.77197,0.74369,0.2256,2.60572,1.01271,2.09255,0.0011882,0.0011882,0.0011882
43,1265.27,1.28927,0.54069,1.13176,0.75602,0.74045,0.75578,0.23843,2.56317,1.0067,2.10708,0.0011684,0.0011684,0.0011684
44,1294.68,1.27879,0.54871,1.13938,0.76284,0.78232,0.76321,0.22814,2.61758,0.89063,2.20835,0.0011486,0.0011486,0.0011486
45,1324.11,1.24539,0.53723,1.12128,0.75308,0.74874,0.77866,0.24136,2.50122,0.92114,2.103,0.0011288,0.0011288,0.0011288
