epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,535.735,0.96375,0.62884,1.0601,0.99529,0.99903,0.99499,0.79322,0.80005,0.35002,0.90722,0.00333163,0.00333163,0.00333163
2,1060.33,0.9517,0.48552,1.05265,0.99609,0.99639,0.9948,0.78924,0.85955,0.38557,0.93857,0.00655499,0.00655499,0.00655499
3,1580.95,0.97406,0.50773,1.08909,0.96766,0.99389,0.98987,0.79415,0.80096,0.43956,0.92983,0.00966835,0.00966835,0.00966835
4,2100.4,0.97134,0.49128,1.11554,0.99597,0.99639,0.9947,0.80999,0.80397,0.36601,0.93402,0.009505,0.009505,0.009505
5,2618.88,0.93879,0.45102,1.10266,0.99594,0.99639,0.99423,0.80541,0.79728,0.3476,0.93301,0.00934,0.00934,0.00934
6,3137.4,0.92117,0.4325,1.10027,0.99861,0.99883,0.99489,0.828,0.76536,0.3243,0.91867,0.009175,0.009175,0.009175
7,3656.38,0.90725,0.41498,1.0937,0.99833,0.99797,0.99496,0.8246,0.77159,0.31902,0.93526,0.00901,0.00901,0.00901
8,4175.45,0.89941,0.4092,1.0895,0.99833,0.99917,0.99492,0.80977,0.78476,0.31447,0.92201,0.008845,0.008845,0.008845
9,4694.77,0.8913,0.39933,1.08412,0.99889,0.999,0.99489,0.80872,0.7714,0.3015,0.92138,0.00868,0.00868,0.00868
10,5213.53,0.88164,0.39023,1.07923,0.99804,0.99889,0.99491,0.81661,0.75645,0.29085,0.92052,0.008515,0.008515,0.008515
11,5733.3,0.87889,0.38588,1.0805,0.99803,0.99917,0.995,0.82385,0.76451,0.28433,0.92271,0.00835,0.00835,0.00835
12,6252.67,0.87314,0.38182,1.07618,0.99845,0.99889,0.99497,0.82366,0.74192,0.27829,0.9123,0.008185,0.008185,0.008185
13,6772.43,0.86944,0.37638,1.07438,0.99894,0.99917,0.995,0.82018,0.74861,0.28061,0.9201,0.00802,0.00802,0.00802
14,7292.51,0.86206,0.37124,1.07256,0.99907,0.99917,0.99497,0.83205,0.7467,0.27067,0.91582,0.007855,0.007855,0.007855
15,7813.26,0.85899,0.36735,1.06966,0.9994,0.99889,0.99494,0.82295,0.75033,0.26921,0.91268,0.00769,0.00769,0.00769
16,8333.76,0.85711,0.36633,1.06778,0.9994,0.99944,0.99496,0.82665,0.75729,0.26539,0.91484,0.007525,0.007525,0.007525
17,8854.5,0.85495,0.36306,1.06792,0.99931,0.99917,0.99499,0.82842,0.74859,0.26326,0.91391,0.00736,0.00736,0.00736
18,9374.91,0.84902,0.35726,1.06633,0.99847,0.99944,0.99496,0.82337,0.75101,0.25942,0.91036,0.007195,0.007195,0.007195
19,9895.34,0.84825,0.35636,1.06541,0.99848,0.99917,0.99489,0.83392,0.74446,0.25695,0.90803,0.00703,0.00703,0.00703
20,10416.3,0.84603,0.35427,1.06074,0.99885,0.99944,0.99491,0.82627,0.75615,0.25763,0.91067,0.006865,0.006865,0.006865
21,10937.2,0.8425,0.35247,1.05869,0.99936,0.99944,0.99497,0.82643,0.75263,0.25676,0.91052,0.0067,0.0067,0.0067
22,11458.2,0.83974,0.34989,1.05923,0.99892,0.99944,0.99491,0.82306,0.75177,0.25454,0.91177,0.006535,0.006535,0.006535
23,11979,0.83915,0.34856,1.0593,0.99893,0.99944,0.99493,0.82851,0.74477,0.25076,0.91107,0.00637,0.00637,0.00637
24,12500,0.83909,0.3469,1.05683,0.99927,0.99944,0.99494,0.82528,0.74636,0.25013,0.91121,0.006205,0.006205,0.006205
25,13020.2,0.83305,0.34467,1.0545,0.99917,0.99944,0.99497,0.83027,0.74208,0.24802,0.91078,0.00604,0.00604,0.00604
26,13540.2,0.83293,0.34514,1.05544,0.9988,0.99944,0.99493,0.83196,0.73992,0.24749,0.91148,0.005875,0.005875,0.005875
27,14060.3,0.83119,0.34158,1.05238,0.99878,0.99944,0.99495,0.83556,0.74011,0.24674,0.9113,0.00571,0.00571,0.00571
28,14581,0.82858,0.34055,1.05249,0.99889,0.99965,0.99498,0.8365,0.73947,0.24582,0.91124,0.005545,0.005545,0.005545
29,15101.5,0.82362,0.33668,1.05001,0.99861,0.99969,0.99499,0.8367,0.74087,0.24536,0.91218,0.00538,0.00538,0.00538
30,15621.7,0.82319,0.3367,1.04834,0.99884,0.99944,0.995,0.83788,0.74082,0.24496,0.9119,0.005215,0.005215,0.005215
31,16142.4,0.81928,0.33253,1.04871,0.99936,0.99944,0.995,0.83759,0.74182,0.24501,0.91188,0.00505,0.00505,0.00505
32,16662.4,0.81942,0.33201,1.04713,0.99933,0.99944,0.995,0.83739,0.74266,0.24465,0.91141,0.004885,0.004885,0.004885
33,17183.5,0.81486,0.32941,1.04325,0.99907,0.99944,0.995,0.83624,0.74339,0.24395,0.91092,0.00472,0.00472,0.00472
34,17704.3,0.81352,0.32888,1.04403,0.99952,0.99944,0.995,0.83593,0.74363,0.24367,0.91071,0.004555,0.004555,0.004555
35,18225.2,0.80903,0.32507,1.04287,0.99921,0.99944,0.995,0.836,0.74309,0.24321,0.91052,0.00439,0.00439,0.00439
36,18746.3,0.81334,0.32505,1.04295,0.99882,0.99944,0.995,0.83679,0.74407,0.24289,0.91048,0.004225,0.004225,0.004225
37,19267.9,0.80934,0.32361,1.03901,0.99907,0.99944,0.995,0.83611,0.74455,0.24293,0.91052,0.00406,0.00406,0.00406
38,19789.3,0.80673,0.32043,1.04065,0.99918,0.99944,0.995,0.83544,0.7447,0.24261,0.9106,0.003895,0.003895,0.003895
39,20310.9,0.80238,0.3196,1.03968,0.99916,0.99944,0.995,0.83512,0.74496,0.24218,0.91083,0.00373,0.00373,0.00373
40,20832.1,0.80087,0.31691,1.03677,0.99879,0.99944,0.99498,0.83537,0.74504,0.24174,0.91071,0.003565,0.003565,0.003565
41,21352.8,0.79918,0.31573,1.03471,0.99889,0.99944,0.99498,0.83543,0.74474,0.24155,0.91061,0.0034,0.0034,0.0034
42,21873.9,0.79499,0.31187,1.03381,0.99894,0.99944,0.99498,0.83603,0.74476,0.24103,0.91047,0.003235,0.003235,0.003235
43,22395,0.79405,0.31032,1.03439,0.999,0.99944,0.99498,0.83688,0.74483,0.2406,0.91039,0.00307,0.00307,0.00307
44,22917,0.79215,0.3089,1.032,0.99901,0.99944,0.99498,0.83681,0.74464,0.24009,0.91026,0.002905,0.002905,0.002905
45,23439,0.79007,0.31002,1.03095,0.99903,0.99944,0.995,0.83721,0.74442,0.23955,0.91017,0.00274,0.00274,0.00274
46,23961.3,0.78849,0.30729,1.03062,0.99905,0.99944,0.995,0.83743,0.74429,0.23942,0.90998,0.002575,0.002575,0.002575
47,24483.7,0.78463,0.30243,1.02873,0.99904,0.99944,0.995,0.83725,0.74412,0.23928,0.90988,0.00241,0.00241,0.00241
48,25005.8,0.78083,0.30003,1.02599,0.99917,0.99956,0.995,0.83752,0.74412,0.2393,0.90997,0.002245,0.002245,0.002245
49,25528.5,0.77555,0.29776,1.0238,0.99917,0.99958,0.995,0.83684,0.74415,0.2387,0.91008,0.00208,0.00208,0.00208
50,26050.6,0.77334,0.29422,1.02161,0.99944,0.99965,0.995,0.83622,0.74412,0.23835,0.90996,0.001915,0.001915,0.001915
51,26571.1,0.72223,0.27307,0.98297,0.99944,0.99963,0.995,0.83651,0.74377,0.23811,0.90974,0.00175,0.00175,0.00175
52,27089.8,0.71554,0.26935,0.97742,0.99944,0.99963,0.995,0.83722,0.74334,0.23753,0.90964,0.001585,0.001585,0.001585
53,27608.6,0.71237,0.26472,0.97906,0.99944,0.99966,0.995,0.83708,0.74293,0.23716,0.9095,0.00142,0.00142,0.00142
54,28126.9,0.7077,0.2624,0.97421,0.99944,0.99968,0.995,0.83671,0.74271,0.23672,0.90934,0.001255,0.001255,0.001255
55,28645.6,0.70383,0.25857,0.97298,0.99944,0.99969,0.995,0.83719,0.74231,0.23648,0.90926,0.00109,0.00109,0.00109
56,29164.6,0.69965,0.25441,0.97158,0.99944,0.99967,0.995,0.83753,0.74181,0.23582,0.90908,0.000925,0.000925,0.000925
57,29683.1,0.69533,0.25047,0.96634,0.99944,0.99967,0.995,0.83754,0.74128,0.23582,0.90864,0.00076,0.00076,0.00076
58,30200.8,0.69151,0.24615,0.96503,0.99944,0.99966,0.995,0.83849,0.74049,0.23525,0.90821,0.000595,0.000595,0.000595
59,30719.9,0.68808,0.24294,0.96349,0.99944,0.99966,0.995,0.83841,0.73987,0.23484,0.90788,0.00043,0.00043,0.00043
60,31237.9,0.68383,0.23897,0.96143,0.99944,0.99966,0.995,0.83899,0.73925,0.23421,0.90759,0.000265,0.000265,0.000265
