epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,263.375,0.62077,0.81271,0.85167,0.99502,0.99817,0.99463,0.87559,0.55056,0.41724,0.80921,0.00998,0.00332667,0.00998,0.00332667,0.00998,0.00332667,0.00998,0.00332667
2,486.173,0.63491,0.45949,0.84093,0.98947,0.99575,0.99351,0.88305,0.52928,0.40639,0.8177,0.0197822,0.00659407,0.0197822,0.00659407,0.0197822,0.00659407,0.0197822,0.00659407
3,693.481,0.68026,0.48343,0.85424,0.9912,0.9955,0.99317,0.8713,0.5399,0.39491,0.83256,0.0293864,0.00979547,0.0293864,0.00979547,0.0293864,0.00979547,0.0293864,0.00979547
4,895.39,0.65556,0.44685,0.85647,0.99324,0.99166,0.9944,0.88742,0.5248,0.35374,0.83193,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1097.04,0.59894,0.39403,0.84696,0.99738,0.99825,0.99485,0.91758,0.44054,0.28309,0.81053,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1298.45,0.55752,0.36706,0.84073,0.9925,0.99272,0.99408,0.90971,0.44946,0.28358,0.81677,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1499.44,0.53181,0.34323,0.8347,0.99739,0.99875,0.99489,0.92192,0.43428,0.26892,0.80556,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1700.46,0.51593,0.3311,0.8339,0.99792,0.99875,0.9948,0.92694,0.41199,0.25536,0.80205,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1901.04,0.49996,0.31854,0.82675,0.999,0.999,0.99489,0.93791,0.39456,0.23722,0.79995,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,2101.93,0.49764,0.31448,0.82885,0.99875,0.99922,0.99487,0.93914,0.38243,0.23394,0.79332,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
